""," ","Total","Control","Drug"
"1","","(N=300)","(N=137)","(N=163)"
"2","Outcome","","",""
"3","  No","201 (67.0%)","100 (73.0%)","101 (62.0%)"
"4","  Yes","99 (33.0%)","37 (27.0%)","62 (38.0%)"
"5","Age (years)","","",""
"6","  Median (Q1, Q3)","44 (37, 52)","43 (36, 51)","44 (37, 53)"
"7","Sex","","",""
"8","  Female","178 (59.3%)","86 (62.8%)","92 (56.4%)"
"9","  Male","122 (40.7%)","51 (37.2%)","71 (43.6%)"
"10","BMI (kg/m2)","","",""
"11","  Median (Q1, Q3)","26 (23, 29)","26 (24, 28)","26 (23, 29)"
"12","Age group","","",""
"13","  <30","29 (9.7%)","9 (6.6%)","20 (12.3%)"
"14","  30-49","175 (58.3%)","89 (65.0%)","86 (52.8%)"
"15","  50+","96 (32.0%)","39 (28.5%)","57 (35.0%)"
"16","Index year","","",""
"17","  Median (Q1, Q3)","2023 (2023, 2023)","2023 (2023, 2023)","2023 (2023, 2023)"
